34655.5 37907.5
9792.07 16340.2
1756.16 10722.5
6899.45 25601.2
7062.91 24034.1
23318.2 41001.3
26733.3 47298.2
5719.61 1673.6
11268.3 18776.4
26675.6 43370.9
5921 26069
10400.3 21620.4
33213.9 41047.5
10889.6 18121.4
7067.48 24749.9
5256.29 4748.97
16431.9 21597.3
31373.3 36507.6
31607.1 19776.7
24653.5 38348.3
19155.1 27986.1
28323.1 40940.5
34719.8 22410.1
13002.8 23878.7
9159.38 21309.9
25047 40047.5
10480.7 16681
33105.7 38008.2
18587.2 22796.8
31021.3 23620.9
29410.5 8913.52
4605.59 8033.12
9392.5 21985.2
16330.4 29133.5
25520.1 38796
13775.3 25549.4
10349.3 3653.96
15347.8 25600
15898.5 21721.1
15616.8 22773.6
29338.1 43474.2
18984.7 21651.1
6470.11 25832.8
16761.5 21650.7
29089.6 36613.8
28503.2 46338.7
1559.1 14453.5
30895.7 38449.7
15352.6 19443.7
30113.3 6928.37
21305.2 39192.4
30879.3 9692.25
32437.3 6726.63
10945.1 6588.7
29528.1 6743.36
22296 20662
31760.4 24257.9
32658.3 18372.6
14731.3 27147.9
9691.22 19787.5
31382.7 7481.51
28628.9 44443.4
32215 22540.2
1314.61 13144.6
9762.52 15376.2
37334.3 2743.5
31953 10015.9
30602.3 44383
8926.86 25290.8
20911 26233.9
9965.52 20478.9
22194.3 38924.7
30347.7 36903.9
9186.83 20235.5
5288.31 3228.53
39219.4 885.36
41292.9 1513.18
19237.8 24998.3
30497.8 11337.4
9841.29 22537.7
12411.2 25210.5
22175 41053
9631.72 14491.4
23952.6 38986.1
18263 27292.4
1788.99 15032.6
29892.2 6475.77
18383.1 23300.2
13721.9 25427.3
1302.62 12464
16974.5 25186
27947.4 47252
10690.8 23120.8
12967.2 1805.57
19449.2 23907.9
27687.6 45057.6
21376.9 26816.8
593.39 11342.2
30548.1 34920.6
802.526 12619.6
34201.1 22887.6
27547.9 41765.4
38486.9 4216.69
4251.3 8750.17
28222.4 4524.57
16326.5 22770.4
31454.5 21901.5
31197.5 24584.5
9835.3 13915.8
38301.7 1589.38
6981.25 25816.4
28001.3 45306.9
8758.94 23675.9
27872.3 42866.6
20314.6 28916
27183.3 48289
43445.9 2303.55
29101.9 47165
34181 38350.5
33473.8 23821.6
483.603 10594.8
20329.3 29421.6
36864.7 4137.02
15215.4 19858.8
1887.87 13959.2
